# dataset: GeoCSV 2.0
# field_unit: ISO 8601 datetime UTC, meters, meters, meters, meters, meters, meters, number, number, number, degrees north, degrees east, meters, meters, meters, meters, meters, meters, meters, number, number, number, UTF-8
# field_type: string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string
# attribution: http://www.unavco.org/community/policies_forms/attribution/attribution.html
# Request URI: http://ws-prod1.int.unavco.org:9030/gps/data/position/BYAH/v3?analysisCenter=cwu&referenceFrame=nam14&starttime=&endtime=&report=long&dataPostProcessing=Uncleaned&refCoordOption=first_epoch
# Source File: BYAH.cwu.nam14.pos Date Modified: 2022-10-24 23:34:31
# XYZ Reference Coordinate(nam14): X:  5563168.91739 Y:  3117388.46565 Z:  -183873.45966
# Applied Offset: X: 0.0000999998301 Y: 0.0020299996249 Z: 0.0017099999823
Datetime, X, Y, Z, Std Dev X, Std Dev Y, Std Dev Z, Corr XY, Corr XZ, Corr YZ, N latitude, E longitude, Height, delta N, delta E, delta U, Std Dev N, Std Dev E, Std Dev U, Corr NE, Corr NU, Corr EU, Solution
2022-08-04T00:00:00Z,5563168.91739,3117388.46565,-183873.45966,0.00793,0.00460,0.00226,0.85300,-0.24300,-0.23900,-1.6627052507,29.2646134257,1596.26242,0.00000,0.00000,0.00000,0.00214,0.00221,0.00893,-0.01765,-0.08090,-0.14449,final
2022-08-05T00:00:00Z,5563168.92084,3117388.46975,-183873.45819,0.00739,0.00426,0.00213,0.83300,-0.21000,-0.19400,-1.6627052361,29.2646134427,1596.26739,0.00161,0.00189,0.00497,0.00212,0.00209,0.00827,0.00592,-0.10613,-0.10923,final
2022-08-06T00:00:00Z,5563168.91424,3117388.46763,-183873.45601,0.00736,0.00426,0.00215,0.83500,-0.24300,-0.21900,-1.6627052181,29.2646134551,1596.26054,0.00360,0.00327,-0.00189,0.00210,0.00210,0.00825,0.01823,-0.09775,-0.14362,final
2022-08-07T00:00:00Z,5563168.93211,3117388.47565,-183873.45748,0.00731,0.00430,0.00215,0.83300,-0.23800,-0.21700,-1.6627052263,29.2646134395,1596.28008,0.00269,0.00153,0.01766,0.00212,0.00210,0.00822,0.00953,-0.07074,-0.13958,final
2022-08-08T00:00:00Z,5563168.92839,3117388.47403,-183873.46032,0.00760,0.00441,0.00219,0.83600,-0.22600,-0.21000,-1.6627052530,29.2646134431,1596.27612,-0.00026,0.00193,0.01371,0.00217,0.00215,0.00853,0.00426,-0.09255,-0.12581,final
2022-08-09T00:00:00Z,5563168.92272,3117388.46710,-183873.45901,0.00747,0.00431,0.00217,0.83600,-0.25200,-0.22500,-1.6627052434,29.2646134137,1596.26776,0.00081,-0.00134,0.00534,0.00212,0.00212,0.00837,0.02400,-0.10271,-0.15180,final
2022-08-10T00:00:00Z,5563168.92254,3117388.46364,-183873.45874,0.00746,0.00430,0.00218,0.83500,-0.24000,-0.21600,-1.6627052415,29.2646133873,1596.26590,0.00102,-0.00427,0.00348,0.00213,0.00213,0.00836,0.01927,-0.10506,-0.14057,final
2022-08-11T00:00:00Z,5563168.91129,3117388.46597,-183873.45412,0.00779,0.00453,0.00227,0.83900,-0.28300,-0.25200,-1.6627052020,29.2646134550,1596.25710,0.00539,0.00326,-0.00532,0.00221,0.00221,0.00875,0.02813,-0.08678,-0.18392,final
2022-08-12T00:00:00Z,5563168.92384,3117388.46912,-183873.45762,0.00758,0.00436,0.00220,0.83800,-0.26700,-0.23900,-1.6627052303,29.2646134246,1596.26968,0.00225,-0.00013,0.00726,0.00214,0.00215,0.00849,0.02622,-0.10687,-0.16744,final
2022-08-13T00:00:00Z,5563168.92393,3117388.46912,-183873.46014,0.00731,0.00424,0.00214,0.83400,-0.24500,-0.21500,-1.6627052531,29.2646134242,1596.26983,-0.00027,-0.00017,0.00741,0.00210,0.00209,0.00820,0.02833,-0.09479,-0.14445,final
2022-08-14T00:00:00Z,5563168.91247,3117388.46673,-183873.45830,0.00741,0.00426,0.00216,0.83400,-0.23600,-0.21600,-1.6627052394,29.2646134558,1596.25862,0.00125,0.00335,-0.00380,0.00212,0.00211,0.00829,0.01263,-0.11026,-0.13720,final
2022-08-15T00:00:00Z,5563168.91691,3117388.46556,-183873.45999,0.00733,0.00426,0.00216,0.83400,-0.24400,-0.21100,-1.6627052537,29.2646134271,1596.26197,-0.00034,0.00016,-0.00045,0.00211,0.00211,0.00822,0.03343,-0.09136,-0.14332,final
2022-08-16T00:00:00Z,5563168.92105,3117388.47169,-183873.45982,0.00740,0.00427,0.00215,0.83400,-0.22800,-0.20700,-1.6627052505,29.2646134570,1596.26857,0.00002,0.00348,0.00615,0.00212,0.00211,0.00829,0.01403,-0.10379,-0.12792,final
2022-08-17T00:00:00Z,5563168.90772,3117388.46485,-183873.45862,0.00750,0.00441,0.00219,0.83400,-0.24400,-0.20700,-1.6627052436,29.2646134619,1596.25357,0.00078,0.00403,-0.00885,0.00217,0.00214,0.00844,0.03814,-0.07091,-0.14083,final
