PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, IWAW
Station name, IWAW_KIVU_RW2022
Begin Date, 2022-08-05
End Date, 2022-10-31
Release Date, 2022-11-01
Source file, IWAW.cwu.nam14.pos
Offset from source file, 2.39 mm North, 0.51 mm East, 4.21 mm Vertical
Reference position, -1.9346042759 North Latitude, 29.1472485385 East Longitude, 1517.43602 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-05,0.00, 0.00, 0.00, 2.14, 2.21, 9.01, final,
2022-08-06,4.79, 1.03, 8.42, 2.18, 2.22, 9.09, final,
2022-08-07,4.34, 2.19, -1.36, 2.14, 2.31, 9.39, final,
2022-08-08,1.08, 3.20, 3.99, 2.21, 2.28, 9.53, final,
2022-08-09,-0.38, -2.06, -2.97, 2.16, 2.3, 9.48, final,
2022-08-10,0.53, -6.76, 12.56, 2.2, 2.24, 9.24, final,
2022-08-11,1.14, 0.85, -12.91, 2.22, 2.37, 9.68, final,
2022-08-12,1.18, 0.51, -15.50, 2.25, 2.31, 9.83, final,
2022-08-13,3.01, 1.05, -0.20, 2.2, 2.24, 9.4, final,
2022-08-14,-0.24, 0.85, -5.03, 2.18, 2.24, 9.38, final,
2022-08-15,-1.99, -3.46, -10.83, 2.22, 2.25, 9.4, final,
2022-08-16,0.91, 2.44, -3.86, 2.11, 2.23, 8.91, final,
2022-08-17,-2.10, 1.32, -14.76, 2.28, 2.36, 10.09, final,
2022-08-18,0.53, 3.82, 11.37, 2.17, 2.22, 9.03, final,
2022-08-19,2.86, 2.32, -12.56, 2.22, 2.33, 9.36, final,
2022-08-20,1.57, -4.06, -8.26, 2.17, 2.24, 9.23, final,
2022-08-21,0.51, -4.66, -9.83, 2.17, 2.25, 9.04, final,
2022-08-22,3.92, -5.22, 2.38, 2.14, 2.23, 9.03, final,
2022-08-23,2.46, -2.11, -4.38, 2.38, 2.36, 10.1, final,
2022-08-24,2.91, -2.23, 2.40, 2.27, 2.33, 9.51, final,
2022-08-25,0.28, -3.24, -1.80, 2.16, 2.24, 9.1, final,
2022-08-26,0.35, -1.02, -6.57, 2.17, 2.24, 9.01, final,
2022-08-27,0.78, 2.53, -9.64, 2.16, 2.25, 9.12, final,
2022-08-28,-0.81, -5.27, -4.38, 2.24, 2.29, 9.89, final,
2022-08-29,-3.14, -1.04, -8.92, 2.14, 2.29, 9.29, final,
2022-08-30,-1.92, -5.67, -10.22, 2.14, 2.22, 9.01, final,
2022-08-31,-1.08, 1.56, -13.54, 2.17, 2.24, 9.21, final,
2022-09-01,-3.15, 3.06, -11.78, 2.17, 2.28, 9.3, final,
2022-09-02,0.99, -0.83, -2.20, 2.16, 2.27, 9.18, final,
