> -L"kivu_presumed_faults_right"
29.2043195468	-1.74181467925
29.2100841038	-1.73232447795
29.2164138134	-1.72509381647
29.2229695841	-1.71831504636
29.230203538	-1.71018049049
29.2344986981	-1.70430551201
29.2370984003	-1.69831753474
29.2401502246	-1.68961798754
> -L"kivu_presumed_faults_right"
29.0979860763	-2.22173625236
29.106463366	-2.21428182646
29.1133582283	-2.20603673596
29.1188967242	-2.19700096786
29.1242091591	-2.18536733596
29.1280521971	-2.1782515749
29.1325734183	-2.17192642573
29.1402594943	-2.16413290196
29.1474934481	-2.15803359454
> -L"92ft"
28.8368855534	-2.48600428378
28.8347379733	-2.4765186211
28.8342858512	-2.46228999982
28.8342858512	-2.45111026217
28.8337206985	-2.43846236561
28.8330425154	-2.43123494272
28.8330425154	-2.42750828766
28.8334946375	-2.41508603001
28.8351900954	-2.41350500724
28.8380158587	-2.41068174772
28.841067683	-2.4054869349
28.8420849577	-2.39837226786
28.8425370798	-2.39498431816
28.8437804157	-2.38707906964
28.8455889041	-2.37838324375
28.8481886063	-2.37183310492
28.8506752779	-2.36562173773
28.8530489191	-2.35726458162
28.8556486212	-2.34924618198
28.8580222624	-2.3407759915
28.8601698424	-2.33535504273
28.8606219645	-2.33343511835
> -L"92ft"
28.9956934472	-1.86388368868
28.9973889051	-1.85371629396
29.0015710347	-1.84874554639
29.0081268054	-1.84682502655
29.014230454	-1.84467856074
29.0196559194	-1.84027264913
29.0260986596	-1.83451105599
29.0327674608	-1.82908836314
29.0349150409	-1.82592511807
29.0363844377	-1.82242294739
29.0361583767	-1.81654832323
29.0359323156	-1.80920501617
29.035593224	-1.80581578749
> -L"92ft"
29.1424353319	-2.08602605126
29.1536253544	-2.0694214871
29.1721623612	-2.04298937377
29.1770226739	-2.03237122256
29.181091773	-2.02322148305
29.18685633	-2.01373280977
29.1909254291	-2.00729403571
29.1957857418	-1.99724046061
29.1989505966	-1.98707386144
29.2018893904	-1.97289699929
29.2047151536	-1.96075337584
29.2065801574	-1.95403198354
29.2104797106	-1.943074362
29.213757596	-1.93590103514
29.219748214	-1.92494329617
29.2229695841	-1.91754395835
29.2242411776	-1.91474801702
29.2255692863	-1.90381838448
> -L"221ft"
28.6941069596	-2.3979212207
28.6960284786	-2.38854786965
28.6989672723	-2.38019085211
28.7038275851	-2.37183378391
28.7086878979	-2.36392840266
28.7126439664	-2.35579710639
28.714904577	-2.34664934135
28.7150176075	-2.33919556262
28.7133221496	-2.33151587036
28.7114006306	-2.32688544742
> -L"221ft"
28.9073035732	-2.18197888251
28.9212063283	-2.16819909328
28.9281011906	-2.16006669973
28.9338657476	-2.15080475406
28.9391781825	-2.14323702499
28.9462991058	-2.13431383371
28.9502551743	-2.12640716524
28.952741846	-2.12121133246
28.956810945	-2.11635434256
28.9611061052	-2.11319164328
28.9633667158	-2.11206210626
> -L"221ft"
29.2280842156	-2.17113578022
29.2265017882	-2.16097030117
29.225823605	-2.15408032665
29.2259366355	-2.14470539326
29.2259366355	-2.13386202518
29.2252584524	-2.12426106251
29.2242411776	-2.11409527231
29.2228848112	-2.10494600418
29.2242411776	-2.09398940258
29.2254279981	-2.08811572892
29.2265017882	-2.08376693715
> -L"221ft"
28.930531347	-2.12155019165
28.9437559189	-2.10291282619
28.9520071475	-2.09342462722
28.9625189868	-2.08438819385
28.9745002229	-2.07139823007
28.9828644821	-2.06360420063
28.9886290391	-2.05558421741
28.9947326877	-2.04937152665
29.0021927026	-2.0441754395
29.0125915113	-2.03739790925
29.0182430378	-2.03299249929
29.0236685032	-2.02932131514
29.0269463885	-2.02745747999
> -L"221ft"
28.9562457924	-1.98922014871
28.9588454946	-1.98244238994
28.9616712578	-1.97634238331
28.9660794485	-1.97125902734
28.9725221886	-1.96617565583
28.9790779593	-1.96075337584
28.9829209973	-1.95657368968
28.9885725238	-1.9490050423
28.9924155618	-1.94087153258
28.9981801188	-1.92946195997
29.0038316453	-1.9194079167
29.0110655992	-1.90799820048
29.0159259119	-1.89963855835
29.0189777362	-1.89579762812
29.0234989574	-1.88777683459
29.0285853312	-1.88003842829
