PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BNZA
Station name, BNZA_KIVU_RW2022
Begin Date, 2022-08-07
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, BNZA.cwu.igs14.pos
Offset from source file, -243.81 mm North, 24.07 mm East, -4.36 mm Vertical
Reference position, -1.8977912034 North Latitude, 29.2972919265 East Longitude, 1709.02926 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-07,0.00, 0.00, 0.00, 3.14, 3.19, 7.19, suppf,
2022-08-08,-2.70, -0.96, -8.53, 3.14, 3.21, 7.31, suppf,
2022-08-09,0.07, -2.78, -4.15, 3.2, 3.26, 7.26, suppf,
2022-08-10,-0.50, -9.79, 3.73, 3.1, 3.17, 7.22, suppf,
2022-08-11,-0.10, -4.19, -7.09, 3.07, 3.13, 7.31, suppf,
2022-08-12,1.62, -4.50, -4.59, 3.07, 3.14, 7.24, suppf,
2022-08-13,3.88, -5.65, -2.96, 3.09, 3.15, 7.17, suppf,
2022-08-14,0.74, -0.80, -6.80, 3.08, 3.15, 7.13, suppf,
2022-08-15,-2.78, 2.96, -2.06, 3.07, 3.14, 7.22, suppf,
2022-08-16,1.25, 4.16, -6.82, 3.04, 3.11, 7.31, suppf,
2022-08-17,-2.55, 0.33, -1.92, 3.07, 3.14, 7.37, suppf,
2022-08-18,-2.70, -1.24, -2.61, 3.15, 3.21, 7.14, suppf,
2022-08-19,2.81, 7.18, -1.82, 3.1, 3.17, 7.34, suppf,
2022-08-20,4.36, 4.76, -6.68, 3.08, 3.15, 7.21, suppf,
2022-08-21,2.32, 0.13, -3.86, 3.07, 3.14, 7.27, suppf,
2022-08-22,4.13, -5.68, -1.64, 3.12, 3.19, 7.17, suppf,
2022-08-23,1.90, 0.72, -2.88, 3.15, 3.23, 7.66, suppf,
2022-08-24,-1.42, -1.63, -5.58, 3.11, 3.19, 7.51, suppf,
2022-08-25,1.28, -3.59, -2.54, 3.1, 3.17, 7.42, suppf,
2022-08-26,4.10, 4.74, -11.47, 3.1, 3.18, 7.36, suppf,
2022-08-27,2.66, 3.43, -3.56, 3.2, 3.25, 7.36, suppf,
2022-08-28,3.33, 2.41, -7.98, 3.31, 3.37, 7.57, suppf,
2022-08-29,2.39, -2.22, -14.09, 3.21, 3.26, 7.41, suppf,
2022-08-30,2.26, -1.04, -2.81, 3.24, 3.31, 7.32, suppf,
2022-08-31,-1.09, 1.78, -16.81, 3.07, 3.15, 7.23, suppf,
2022-09-01,2.12, 4.67, -12.93, 3.07, 3.16, 7.16, suppf,
2022-09-02,3.65, -2.11, -8.43, 3.17, 3.25, 7.3, suppf,
2022-09-03,-1.99, -7.71, -10.27, 3.16, 3.22, 7.23, suppf,
2022-09-04,1.03, -7.31, -8.19, 3.29, 3.34, 7.32, suppf,
2022-09-05,7.23, 3.33, -14.63, 3.16, 3.22, 7.3, suppf,
2022-09-06,1.82, -0.95, -11.26, 3.08, 3.15, 7.24, suppf,
2022-09-07,0.98, -4.52, -14.46, 3.11, 3.18, 7.25, suppf,
2022-09-08,5.06, -1.31, -12.44, 3.19, 3.25, 7.53, suppf,
2022-09-09,1.63, -8.02, -4.79, 3.13, 3.18, 7.37, suppf,
2022-09-10,2.28, -7.28, -7.85, 3.14, 3.19, 7.4, suppf,
2022-09-11,4.97, -5.69, -9.01, 3.2, 3.27, 7.48, suppf,
2022-09-12,8.66, 1.35, -10.25, 3.26, 3.33, 7.61, suppf,
2022-09-13,3.00, -2.34, -9.55, 3.19, 3.26, 7.65, suppf,
2022-09-14,-0.84, 2.23, -11.86, 3.27, 3.36, 7.72, suppf,
2022-09-15,3.31, 0.80, -9.72, 3.17, 3.3, 7.83, suppf,
2022-09-16,6.35, 3.40, -12.18, 3.14, 3.23, 7.65, suppf,
2022-09-17,5.33, 1.98, -14.39, 3.12, 3.2, 7.35, suppf,
2022-09-18,4.28, 1.22, -16.02, 3.19, 3.29, 7.53, suppf,
