PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-04,0.00, 0.00, 0.00, 3.37, 3.32, 9.05, suppf,
2022-08-05,2.55, 6.15, 2.94, 3.4, 3.42, 8.42, suppf,
2022-08-06,4.70, 7.63, -3.58, 3.3, 3.29, 8.39, suppf,
2022-08-07,-0.26, 5.60, 14.87, 3.27, 3.27, 8.35, suppf,
2022-08-08,-1.73, 1.40, 13.18, 3.3, 3.3, 8.66, suppf,
2022-08-09,2.25, 0.20, 4.56, 3.35, 3.34, 8.51, suppf,
2022-08-10,3.12, -6.45, 4.77, 3.26, 3.25, 8.49, suppf,
2022-08-11,4.18, 0.47, -4.95, 3.27, 3.24, 8.86, suppf,
2022-08-12,4.61, -2.10, 8.36, 3.24, 3.22, 8.62, suppf,
2022-08-13,3.44, -1.97, 9.61, 3.23, 3.22, 8.33, suppf,
2022-08-14,5.04, 3.93, -3.88, 3.24, 3.23, 8.43, suppf,
2022-08-15,0.86, 5.11, -2.75, 3.22, 3.21, 8.36, suppf,
2022-08-16,3.59, 8.43, 4.21, 3.18, 3.19, 8.41, suppf,
2022-08-17,2.26, 7.29, -10.69, 3.22, 3.23, 8.56, suppf,
2022-08-18,-0.16, 3.53, 6.97, 3.3, 3.29, 8.39, suppf,
2022-08-19,7.66, 10.29, 4.88, 3.28, 3.29, 8.72, suppf,
2022-08-20,7.62, 11.47, -1.46, 3.22, 3.22, 8.29, suppf,
2022-08-21,4.72, 5.59, 6.51, 3.24, 3.26, 8.78, suppf,
2022-08-22,6.48, -0.39, 7.83, 3.26, 3.27, 8.27, suppf,
2022-08-23,3.88, 5.19, 2.41, 3.31, 3.3, 8.75, suppf,
2022-08-24,-0.90, 1.63, 10.38, 3.3, 3.28, 8.83, suppf,
2022-08-25,3.25, 1.78, 6.53, 3.25, 3.26, 8.78, suppf,
2022-08-26,7.00, 9.10, -8.50, 3.25, 3.27, 8.64, suppf,
2022-08-27,7.89, 9.14, -7.21, 3.37, 3.33, 8.71, suppf,
2022-08-28,8.25, 6.69, -5.92, 3.43, 3.43, 8.57, suppf,
2022-08-29,5.56, 3.76, -5.44, 3.35, 3.37, 8.72, suppf,
2022-08-30,6.64, 5.95, 2.39, 3.36, 3.4, 8.56, suppf,
2022-08-31,3.15, 4.84, -1.89, 3.22, 3.26, 8.59, suppf,
2022-09-01,4.57, 10.59, -12.17, 3.19, 3.22, 8.23, suppf,
2022-09-02,7.43, 2.23, -4.49, 3.3, 3.33, 8.62, suppf,
2022-09-03,3.62, -3.05, -3.42, 3.31, 3.32, 8.43, suppf,
2022-09-04,2.16, -0.44, 3.75, 3.43, 3.4, 8.43, suppf,
2022-09-05,6.90, 7.73, -6.40, 3.28, 3.29, 8.31, suppf,
2022-09-06,6.56, 5.37, -14.57, 3.21, 3.23, 8.35, suppf,
2022-09-07,5.00, -3.11, 1.15, 3.25, 3.27, 8.44, suppf,
