PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, IWAW
Station name, IWAW_KIVU_RW2022
Begin Date, 2022-08-05
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, IWAW.cwu.igs14.pos
Offset from source file, -242.43 mm North, 23.82 mm East, 5.38 mm Vertical
Reference position, -1.9346042759 North Latitude, 29.1472485385 East Longitude, 1517.43602 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-05,0.00, 0.00, 0.00, 3.44, 3.48, 9.16, suppf,
2022-08-06,4.93, 1.13, 8.75, 3.36, 3.37, 9.21, suppf,
2022-08-07,0.44, 1.98, -2.11, 3.3, 3.4, 9.51, suppf,
2022-08-08,-1.31, -1.62, 5.50, 3.34, 3.37, 9.64, suppf,
2022-08-09,0.14, -4.80, -1.71, 3.38, 3.45, 9.6, suppf,
2022-08-10,1.72, -13.21, 15.88, 3.3, 3.32, 9.36, suppf,
2022-08-11,-1.01, -6.22, -10.50, 3.28, 3.35, 9.78, suppf,
2022-08-12,2.60, -5.74, -12.37, 3.32, 3.34, 9.93, suppf,
2022-08-13,5.81, -5.02, 4.03, 3.3, 3.32, 9.51, suppf,
2022-08-14,2.63, -2.84, -3.08, 3.29, 3.32, 9.49, suppf,
2022-08-15,-1.73, -2.77, -11.10, 3.3, 3.31, 9.51, suppf,
2022-08-16,3.55, 3.13, -3.77, 3.19, 3.26, 9.02, suppf,
2022-08-17,-1.56, 0.31, -14.57, 3.31, 3.36, 10.19, suppf,
2022-08-18,1.24, -0.99, 13.64, 3.34, 3.35, 9.15, suppf,
2022-08-19,4.79, 6.34, -13.46, 3.29, 3.35, 9.47, suppf,
2022-08-20,6.46, 2.42, -9.08, 3.27, 3.3, 9.35, suppf,
2022-08-21,4.06, -2.87, -9.53, 3.24, 3.29, 9.15, suppf,
2022-08-22,7.40, -7.76, 5.21, 3.29, 3.35, 9.15, suppf,
2022-08-23,5.64, -0.71, -4.00, 3.41, 3.39, 10.2, suppf,
2022-08-24,1.63, -3.17, 2.26, 3.32, 3.35, 9.62, suppf,
2022-08-25,3.18, -6.18, 0.30, 3.25, 3.31, 9.21, suppf,
2022-08-26,6.60, 1.38, -5.44, 3.28, 3.32, 9.13, suppf,
2022-08-27,5.55, 3.05, -8.07, 3.34, 3.4, 9.24, suppf,
2022-08-28,7.39, -1.38, -3.56, 3.5, 3.53, 10.02, suppf,
2022-08-29,4.13, -0.44, -7.50, 3.35, 3.44, 9.41, suppf,
2022-08-30,2.53, -5.19, -8.97, 3.4, 3.42, 9.14, suppf,
2022-08-31,2.70, 1.75, -12.45, 3.27, 3.29, 9.32, suppf,
2022-09-01,4.12, 4.16, -10.31, 3.27, 3.33, 9.41, suppf,
2022-09-02,4.84, -5.08, 0.84, 3.34, 3.39, 9.3, suppf,
2022-09-03,3.12, -8.31, -9.64, 3.36, 3.39, 9.44, suppf,
2022-09-04,3.35, -10.61, 20.10, 3.5, 3.49, 9.61, suppf,
2022-09-05,7.28, -1.33, -20.53, 3.31, 3.39, 9.35, suppf,
2022-09-06,4.83, -4.91, -9.05, 3.25, 3.31, 9.42, suppf,
2022-09-07,3.08, -11.37, -4.27, 3.28, 3.33, 9.17, suppf,
2022-09-08,5.91, -2.56, -5.89, 3.39, 3.44, 9.84, suppf,
2022-09-09,4.37, -8.62, -14.10, 3.31, 3.34, 9.42, suppf,
2022-09-10,5.18, -8.04, -6.80, 3.32, 3.36, 9.67, suppf,
2022-09-11,10.18, -8.94, -2.47, 3.41, 3.41, 9.51, suppf,
2022-09-12,10.04, -2.45, -10.45, 3.46, 3.53, 10.08, suppf,
2022-09-13,5.66, -6.94, -12.60, 3.43, 3.55, 10.75, suppf,
2022-09-14,3.00, -0.47, 1.26, 3.46, 3.55, 10.02, suppf,
2022-09-15,4.64, -0.93, -9.68, 3.41, 3.48, 10.43, suppf,
2022-09-16,9.60, 2.66, -12.55, 3.35, 3.42, 10.05, suppf,
2022-09-17,5.09, 1.49, -28.44, 3.31, 3.35, 9.56, suppf,
2022-09-18,7.54, -2.56, -2.57, 3.35, 3.47, 9.75, suppf,
2022-09-19,11.63, -4.16, -1.05, 3.41, 3.47, 9.26, suppf,
2022-09-20,0.99, -7.26, -7.63, 3.41, 3.48, 9.81, suppf,
2022-09-21,3.97, -4.59, -19.34, 3.41, 3.5, 10.01, suppf,
2022-09-22,5.20, -2.10, -15.48, 3.51, 3.57, 10.57, suppf,
2022-09-23,0.74, -7.22, -30.41, 3.47, 3.52, 9.93, suppf,
2022-09-24,-0.32, -5.46, -23.25, 3.37, 3.46, 9.59, suppf,
2022-09-25,5.89, -10.25, -10.34, 3.33, 3.38, 9.18, suppf,
2022-09-26,6.31, -6.74, 2.40, 3.37, 3.51, 10.15, suppf,
2022-09-27,-2.39, -5.19, -37.04, 3.3, 3.43, 9.71, suppf,
2022-09-28,1.35, -8.25, -19.67, 3.41, 3.56, 10.48, suppf,
2022-09-29,3.30, -2.79, -7.16, 3.38, 3.48, 9.92, suppf,
2022-09-30,4.38, -9.22, -0.86, 3.33, 3.38, 9.79, suppf,
2022-10-01,6.81, -6.21, 2.83, 3.3, 3.43, 10.11, suppf,
2022-10-02,8.92, -1.01, -2.96, 3.37, 3.45, 10.03, suppf,
2022-10-03,5.09, -1.31, -5.26, 3.27, 3.36, 9.2, suppf,
