PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KANZ
Station name, kanz_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KANZ.cwu.igs14.pos
Offset from source file, -243.29 mm North, 22.75 mm East, 8.01 mm Vertical
Reference position, -1.6463465815 North Latitude, 29.3781144963 East Longitude, 2299.33814 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-03,0.00, 0.00, 0.00, 3.22, 3.26, 7.49, suppf,
2022-08-04,-2.48, -5.84, 10.88, 3.2, 3.23, 7.75, suppf,
2022-08-05,2.32, 0.13, 9.10, 3.28, 3.33, 7.29, suppf,
2022-08-06,4.64, -0.40, 10.57, 3.16, 3.22, 7.25, suppf,
2022-08-07,2.17, -0.40, 4.82, 3.14, 3.2, 7.31, suppf,
2022-08-08,0.15, -3.26, 9.96, 3.14, 3.2, 7.29, suppf,
2022-08-09,1.14, -3.31, 5.43, 3.2, 3.26, 7.26, suppf,
2022-08-10,-0.27, -10.02, 7.00, 3.09, 3.15, 7.13, suppf,
2022-08-11,1.27, -4.36, 8.31, 3.08, 3.13, 7.36, suppf,
2022-08-12,1.50, -5.39, 8.02, 3.08, 3.14, 7.3, suppf,
2022-08-13,4.51, -3.76, 10.65, 3.08, 3.15, 7.12, suppf,
2022-08-14,4.35, -2.46, 4.46, 3.08, 3.15, 7.19, suppf,
2022-08-15,-0.79, 0.67, 1.99, 3.06, 3.13, 7.12, suppf,
2022-08-16,2.83, 3.32, 3.22, 3.03, 3.1, 7.2, suppf,
2022-08-17,-1.30, 0.16, 1.52, 3.08, 3.14, 7.42, suppf,
2022-08-18,0.15, -0.41, 11.21, 3.15, 3.21, 7.14, suppf,
2022-08-19,6.98, 8.96, 0.67, 3.1, 3.17, 7.35, suppf,
2022-08-20,6.32, 5.94, 4.63, 3.07, 3.14, 7.14, suppf,
2022-08-21,3.51, 2.87, 3.53, 3.08, 3.13, 7.33, suppf,
2022-08-22,4.59, -4.79, 11.80, 3.12, 3.2, 7.18, suppf,
2022-08-23,2.38, 1.62, 12.55, 3.15, 3.24, 7.75, suppf,
2022-08-24,0.81, -1.50, 2.26, 3.11, 3.18, 7.51, suppf,
2022-08-25,2.13, -3.36, 4.46, 3.09, 3.17, 7.49, suppf,
2022-08-26,5.77, 3.94, 4.55, 3.1, 3.17, 7.39, suppf,
2022-08-27,5.48, 6.68, 3.73, 3.2, 3.25, 7.42, suppf,
2022-08-28,5.69, 1.57, 7.46, 3.31, 3.37, 7.54, suppf,
2022-08-29,5.76, 1.04, 7.60, 3.21, 3.27, 7.46, suppf,
2022-08-30,6.49, -2.57, 1.72, 3.24, 3.29, 7.29, suppf,
