PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KMBR
Station name, KMBR_KIVU_RW2022
Begin Date, 2022-08-06
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KMBR.cwu.igs14.pos
Offset from source file, -244.65 mm North, 23.00 mm East, 0.82 mm Vertical
Reference position, -1.8273626406 North Latitude, 29.2925859939 East Longitude, 1471.78216 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-06,0.00, 0.00, 0.00, 3.28, 3.44, 9.17, suppf,
2022-08-07,-5.15, -1.24, 31.01, 3.23, 3.41, 8.92, suppf,
2022-08-08,-3.67, -6.61, 14.66, 3.24, 3.45, 9.06, suppf,
2022-08-09,-3.02, -3.92, 0.12, 3.34, 3.47, 9.19, suppf,
2022-08-10,-3.13, -11.56, 9.02, 3.25, 3.39, 9.25, suppf,
2022-08-11,-2.96, -6.59, 4.20, 3.19, 3.4, 9.25, suppf,
2022-08-12,-2.79, -7.40, 6.62, 3.21, 3.38, 9.39, suppf,
2022-08-13,0.23, -8.16, 22.53, 3.23, 3.38, 9.27, suppf,
2022-08-14,-0.89, -0.85, -5.85, 3.21, 3.37, 9.03, suppf,
2022-08-15,-2.32, 2.26, 4.39, 3.2, 3.36, 9.04, suppf,
2022-08-16,-1.83, 2.48, 1.16, 3.19, 3.38, 9.42, suppf,
2022-08-17,-6.04, 1.38, 1.85, 3.24, 3.38, 9.7, suppf,
2022-08-18,-7.46, -1.80, 17.40, 3.28, 3.43, 9.2, suppf,
2022-08-19,2.32, 4.27, 7.81, 3.26, 3.4, 9.42, suppf,
2022-08-20,1.57, 3.87, 4.30, 3.18, 3.37, 8.94, suppf,
2022-08-21,-2.70, -0.32, 16.18, 3.2, 3.34, 9.09, suppf,
2022-08-22,2.43, -6.96, 15.53, 3.26, 3.42, 9.26, suppf,
2022-08-23,-1.77, -3.55, 9.09, 3.29, 3.48, 9.52, suppf,
2022-08-24,-4.04, -4.24, 19.36, 3.28, 3.47, 9.71, suppf,
2022-08-25,-2.06, -5.66, 17.76, 3.24, 3.41, 9.57, suppf,
2022-08-26,0.72, 2.71, 8.49, 3.24, 3.41, 9.36, suppf,
2022-08-27,1.11, 1.96, 7.65, 3.33, 3.46, 9.22, suppf,
2022-08-28,2.78, -0.73, 11.40, 3.49, 3.65, 10.45, suppf,
2022-08-29,-2.43, -6.26, 13.70, 3.38, 3.5, 9.72, suppf,
