PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, NYBA
Station name, NYBA_KIVU_RW2022
Begin Date, 2022-08-06
End Date, 2023-07-16
Release Date, 2023-09-23
Source file, NYBA.cwu.igs14.pos
Offset from source file, -244.53 mm North, 22.88 mm East, 0.82 mm Vertical
Reference position, -1.7623764188 North Latitude, 29.3496480143 East Longitude, 2248.86794 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-06,0.00, 0.00, 0.00, 3.16, 3.28, 7.42, suppf,
2022-08-07,-3.31, -1.03, 8.58, 3.15, 3.26, 7.49, suppf,
2022-08-08,-4.61, -4.88, 0.36, 3.15, 3.27, 7.59, suppf,
2022-08-09,-3.43, -4.17, 5.85, 3.22, 3.33, 7.54, suppf,
2022-08-10,-3.20, -10.54, 13.94, 3.12, 3.22, 7.44, suppf,
2022-08-11,-1.60, -5.59, 1.92, 3.08, 3.19, 7.49, suppf,
2022-08-12,0.09, -6.10, 12.80, 3.08, 3.21, 7.53, suppf,
2022-08-13,2.88, -5.24, 4.98, 3.1, 3.23, 7.47, suppf,
2022-08-14,2.90, -1.41, 2.53, 3.09, 3.22, 7.45, suppf,
2022-08-15,-2.07, 0.98, 0.72, 3.08, 3.2, 7.45, suppf,
2022-08-16,2.72, 4.38, -2.47, 3.04, 3.16, 7.49, suppf,
2022-08-17,-1.21, -2.20, -3.70, 3.09, 3.22, 7.69, suppf,
2022-08-18,-2.49, -1.27, 2.53, 3.15, 3.27, 7.39, suppf,
2022-08-19,5.82, 8.41, -8.88, 3.13, 3.24, 7.72, suppf,
2022-08-20,3.04, 2.49, 1.27, 3.09, 3.2, 7.43, suppf,
2022-08-21,2.21, -0.50, 4.12, 3.08, 3.2, 7.55, suppf,
2022-08-22,1.89, -7.10, 9.85, 3.14, 3.25, 7.41, suppf,
2022-08-23,0.23, -2.76, 7.72, 3.17, 3.32, 7.96, suppf,
2022-08-24,-2.13, -2.69, -1.38, 3.13, 3.28, 7.87, suppf,
2022-08-25,0.29, -5.12, 3.22, 3.11, 3.25, 7.8, suppf,
2022-08-26,3.13, 2.50, 1.19, 3.13, 3.25, 7.75, suppf,
2022-08-27,3.62, 3.71, 1.14, 3.22, 3.32, 7.72, suppf,
2022-08-28,3.62, 0.79, -2.00, 3.31, 3.43, 7.85, suppf,
2022-08-29,2.56, -4.59, -1.42, 3.23, 3.34, 7.77, suppf,
2022-08-30,2.55, -2.26, 0.98, 3.25, 3.36, 7.53, suppf,
2022-08-31,-0.74, 0.97, -4.41, 3.09, 3.21, 7.57, suppf,
2022-09-01,1.77, 3.97, -6.04, 3.08, 3.21, 7.45, suppf,
2022-09-02,2.27, -4.49, 3.58, 3.18, 3.3, 7.57, suppf,
2022-09-03,-0.76, -9.13, -7.97, 3.18, 3.29, 7.53, suppf,
2022-09-04,0.06, -8.46, -2.80, 3.3, 3.39, 7.54, suppf,
2022-09-05,6.74, 0.85, -12.26, 3.17, 3.28, 7.56, suppf,
2022-09-06,1.14, -2.03, 0.32, 3.09, 3.21, 7.47, suppf,
2022-09-07,1.29, -10.97, -1.03, 3.12, 3.24, 7.5, suppf,
2022-09-08,3.95, -0.43, 0.83, 3.21, 3.3, 7.77, suppf,
2022-09-09,3.19, -8.88, 3.36, 3.14, 3.24, 7.65, suppf,
2022-09-10,3.08, -7.34, 1.83, 3.15, 3.25, 7.66, suppf,
2022-09-11,4.79, -7.96, -1.47, 3.22, 3.32, 7.73, suppf,
2022-09-12,6.68, -1.96, -6.28, 3.27, 3.36, 7.74, suppf,
2022-09-13,3.76, -4.64, -9.31, 3.21, 3.34, 8.02, suppf,
2022-09-14,-1.45, 1.38, -1.97, 3.29, 3.41, 8.01, suppf,
2022-09-15,2.99, -1.18, -5.08, 3.18, 3.35, 8.06, suppf,
2022-09-16,5.96, 1.68, 0.86, 3.16, 3.3, 7.91, suppf,
2022-09-17,3.53, 0.66, -1.61, 3.12, 3.26, 7.62, suppf,
2022-09-18,5.10, 3.15, -3.96, 3.2, 3.33, 7.73, suppf,
2022-09-19,7.94, -1.35, -4.09, 3.27, 3.39, 7.72, suppf,
2022-09-20,1.79, -6.30, -3.27, 3.24, 3.37, 7.86, suppf,
2022-09-21,1.66, -5.91, 2.41, 3.25, 3.36, 7.96, suppf,
2022-09-22,1.77, -1.28, -9.09, 3.29, 3.42, 8.04, suppf,
2022-09-23,-1.09, -9.78, -12.81, 3.27, 3.37, 7.65, suppf,
2022-09-24,1.74, -7.26, -2.44, 3.22, 3.37, 8.12, suppf,
2022-09-25,0.87, -5.91, -1.52, 3.18, 3.3, 7.59, suppf,
2022-09-26,2.36, -5.68, -0.80, 3.18, 3.37, 8.02, suppf,
2022-09-27,-1.53, -4.36, -3.89, 3.12, 3.29, 8.03, suppf,
2022-09-28,-3.63, -8.66, -5.19, 3.24, 3.39, 8.42, suppf,
2022-09-29,0.40, -4.11, -2.33, 3.24, 3.37, 8.35, suppf,
2022-09-30,0.98, -5.51, -1.41, 3.15, 3.28, 7.7, suppf,
2022-10-01,1.69, -1.06, -6.73, 3.11, 3.26, 7.97, suppf,
2022-10-02,2.56, 1.42, -5.48, 3.22, 3.36, 8.15, suppf,
2022-10-03,1.81, -0.57, -8.07, 3.14, 3.27, 7.67, suppf,
2022-10-04,6.48, -4.59, -0.63, 3.16, 3.29, 7.84, suppf,
2022-10-05,-0.48, -8.82, -1.82, 3.1, 3.23, 7.82, suppf,
2022-10-06,-0.21, -3.72, -5.32, 3.07, 3.19, 7.56, suppf,
2022-10-07,6.23, 0.68, 2.83, 3.16, 3.27, 7.73, suppf,
2022-10-08,-3.24, 2.83, -7.74, 3.22, 3.33, 7.82, suppf,
2022-10-09,0.96, 5.96, -12.57, 3.12, 3.19, 7.37, suppf,
2022-10-10,11.26, 6.91, -11.57, 3.1, 3.23, 7.66, suppf,
2022-10-11,2.10, 4.08, -1.36, 3.21, 3.35, 7.95, suppf,
2022-10-12,5.07, -2.86, -1.60, 3.21, 3.36, 7.88, suppf,
2022-10-13,2.33, -8.83, -1.36, 3.2, 3.34, 7.77, suppf,
2022-10-14,5.46, -0.38, 8.60, 3.22, 3.3, 7.66, suppf,
2022-10-15,3.33, -2.28, -8.28, 3.17, 3.28, 7.9, suppf,
2022-10-16,-1.76, -3.79, -2.27, 3.2, 3.28, 7.54, suppf,
2022-10-17,5.54, 0.57, 2.44, 3.01, 3.14, 7.67, suppf,
2022-10-18,6.93, -0.59, 8.52, 3.03, 3.09, 7.68, suppf,
2022-10-19,3.31, 0.01, 2.03, 3.2, 3.28, 8.11, suppf,
2022-10-20,4.78, 2.74, -3.43, 3.22, 3.28, 7.61, suppf,
2022-10-21,2.70, 3.03, -10.03, 3.18, 3.27, 7.28, suppf,
2022-10-22,3.06, 9.92, -7.56, 3.39, 3.46, 7.61, suppf,
2022-10-23,0.73, 8.84, -11.78, 3.22, 3.3, 7.47, suppf,
2022-10-24,5.43, 8.68, -9.46, 3.09, 3.18, 7.49, suppf,
2022-10-25,6.01, 6.73, -13.69, 3.33, 3.41, 7.48, suppf,
2022-10-26,7.76, 4.72, -3.26, 3.33, 3.39, 7.82, suppf,
2022-10-27,5.75, 10.04, -16.85, 3.2, 3.27, 7.78, suppf,
2022-10-28,2.27, 0.87, -8.26, 3.1, 3.17, 7.61, suppf,
2022-10-29,2.52, 4.51, 2.73, 3.16, 3.23, 7.48, suppf,
2022-10-30,-2.69, 8.42, -8.45, 3.17, 3.24, 7.41, suppf,
2022-10-31,7.90, 2.98, -5.28, 3.15, 3.22, 7.4, suppf,
2022-11-01,8.45, 2.72, -2.34, 2.97, 3.06, 7.47, suppf,
2022-11-02,5.37, 2.19, 5.39, 3.24, 3.31, 7.6, suppf,
2022-11-03,2.09, 7.00, -0.10, 3.34, 3.41, 7.59, suppf,
2022-11-04,7.88, 6.77, -5.25, 3.17, 3.23, 7.36, suppf,
2022-11-05,10.77, 3.80, 4.45, 3.37, 3.43, 7.35, suppf,
2022-11-06,3.59, 6.65, -9.74, 3.12, 3.2, 7.34, suppf,
2022-11-07,8.46, 3.21, -0.23, 3.22, 3.29, 7.35, suppf,
2022-11-08,5.69, 7.74, -4.32, 3.22, 3.28, 7.37, suppf,
2022-11-09,5.21, 8.08, 0.78, 3.17, 3.25, 7.36, suppf,
2022-11-10,6.38, 2.20, -0.20, 3.14, 3.21, 7.48, suppf,
2022-11-11,5.27, 0.51, -5.77, 3.3, 3.36, 7.32, suppf,
2022-11-12,9.70, 8.13, 7.32, 3.06, 3.14, 7.37, suppf,
2022-11-13,6.13, 0.87, -0.86, 3.12, 3.2, 7.51, suppf,
2022-11-14,4.09, 3.93, 13.40, 3.07, 3.14, 7.39, suppf,
2022-11-15,4.93, 1.57, 3.91, 3.26, 3.32, 7.5, suppf,
2022-11-16,5.45, 5.49, 0.27, 3.38, 3.48, 7.6, suppf,
2022-11-17,5.89, 0.68, 4.35, 3.17, 3.27, 7.4, suppf,
2022-11-18,1.20, 5.84, -3.28, 3.29, 3.36, 7.39, suppf,
2022-11-19,6.27, 5.04, 1.34, 3.27, 3.33, 7.37, suppf,
2022-11-20,8.77, 12.16, -2.15, 3.31, 3.4, 7.37, suppf,
2022-11-21,7.60, 14.07, -7.74, 3.2, 3.27, 7.4, suppf,
2022-11-22,10.51, 11.05, -6.05, 3.22, 3.3, 7.35, suppf,
2022-11-23,9.59, 8.20, 0.50, 3.16, 3.23, 7.34, suppf,
2022-11-24,8.88, 5.33, 0.61, 3.13, 3.21, 7.32, suppf,
2022-11-25,12.72, 18.40, 0.21, 3.11, 3.18, 7.42, suppf,
2022-11-26,13.46, 8.97, 5.46, 3.23, 3.32, 7.46, suppf,
2022-11-27,12.41, 7.38, -4.26, 3.12, 3.2, 7.32, suppf,
2022-11-28,13.52, 11.93, -0.98, 3.32, 3.4, 7.4, suppf,
2022-11-29,5.56, 6.69, -7.61, 3.05, 3.12, 7.3, suppf,
2022-11-30,10.57, -5.52, 5.26, 3.31, 3.37, 7.33, suppf,
2022-12-01,6.16, 6.40, 1.34, 3.4, 3.46, 7.45, suppf,
2022-12-02,12.62, 4.60, 4.11, 3.24, 3.29, 7.36, suppf,
2022-12-03,8.34, 1.42, -3.85, 3.27, 3.34, 7.34, suppf,
2022-12-04,7.74, 2.32, 0.87, 3.19, 3.24, 7.38, suppf,
2022-12-05,13.02, 0.46, 1.40, 3.13, 3.2, 7.38, suppf,
2022-12-06,7.28, 7.01, -8.05, 3.13, 3.2, 7.48, suppf,
2022-12-07,11.98, -5.71, 5.54, 3.28, 3.33, 7.46, suppf,
2022-12-08,7.02, 3.75, 4.72, 3.26, 3.34, 7.42, suppf,
2022-12-09,6.61, -1.31, -0.76, 3.14, 3.21, 7.36, suppf,
2022-12-10,12.22, 2.61, -1.08, 3.32, 3.39, 7.4, suppf,
2022-12-11,13.44, 6.41, 5.54, 3.21, 3.27, 7.35, suppf,
2022-12-12,9.10, 11.51, 0.81, 3.25, 3.32, 7.39, suppf,
2022-12-13,8.29, 6.80, -0.87, 3.16, 3.23, 7.5, suppf,
2022-12-14,5.38, 8.97, -9.28, 3.26, 3.32, 7.58, suppf,
2022-12-15,5.13, -0.37, 4.90, 3.21, 3.28, 7.51, suppf,
2022-12-16,1.79, -3.41, -11.57, 3.34, 3.42, 7.56, suppf,
2022-12-17,10.25, 3.55, 1.12, 3.36, 3.43, 7.36, suppf,
2022-12-18,5.75, 0.34, 0.21, 3.41, 3.47, 7.55, suppf,
2022-12-19,5.31, 3.92, -9.29, 3.49, 3.53, 7.4, suppf,
2022-12-20,13.06, 2.95, 3.77, 3.43, 3.48, 7.59, suppf,
2022-12-21,8.98, 0.88, 1.15, 3.51, 3.55, 7.53, suppf,
2022-12-22,8.76, -0.32, 8.37, 3.5, 3.56, 7.52, suppf,
2022-12-23,8.38, 3.68, -6.08, 3.63, 3.68, 7.43, suppf,
2022-12-24,2.52, -2.72, -5.66, 3.75, 3.79, 7.47, suppf,
2022-12-25,10.88, 5.90, -9.04, 3.63, 3.68, 7.42, suppf,
2022-12-26,6.75, 7.78, -18.69, 3.47, 3.53, 7.52, suppf,
