PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, RUBO
Station name, RUBO_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-27
Release Date, 2023-09-28
Source file, RUBO.cwu.igs14.pos
Offset from source file, -243.94 mm North, 22.07 mm East, 0.95 mm Vertical
Reference position, -1.7280349874 North Latitude, 29.2559456217 East Longitude, 1464.99799 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-08-03,0.00, 0.00, 0.00, 3.28, 3.46, 8.79, suppf,
2022-08-04,-1.86, -7.16, 7.74, 3.27, 3.44, 9.13, suppf,
2022-08-05,2.02, -2.16, 4.81, 3.33, 3.52, 8.5, suppf,
2022-08-06,2.78, -0.16, -10.28, 3.2, 3.4, 8.34, suppf,
2022-08-07,0.11, -0.52, 11.45, 3.19, 3.37, 8.27, suppf,
2022-08-08,0.53, -2.71, 10.20, 3.2, 3.41, 8.44, suppf,
2022-08-09,2.77, -5.21, 6.26, 3.25, 3.43, 8.33, suppf,
2022-08-10,0.51, -10.80, 8.95, 3.15, 3.36, 8.31, suppf,
2022-08-11,2.03, -4.93, 2.51, 3.13, 3.32, 8.44, suppf,
2022-08-12,4.50, -7.03, 9.17, 3.14, 3.33, 8.43, suppf,
2022-08-13,5.03, -5.22, 4.18, 3.14, 3.33, 8.26, suppf,
2022-08-14,4.07, -3.75, -2.08, 3.13, 3.34, 8.28, suppf,
2022-08-15,1.09, -0.68, 7.11, 3.12, 3.33, 8.34, suppf,
2022-08-16,3.41, 1.87, 6.46, 3.09, 3.29, 8.34, suppf,
2022-08-17,-2.15, -1.23, -3.04, 3.14, 3.36, 8.47, suppf,
2022-08-18,-0.26, -4.02, 7.08, 3.2, 3.38, 8.25, suppf,
2022-08-19,5.94, 4.01, -3.78, 3.16, 3.37, 8.52, suppf,
2022-08-20,7.87, 1.07, -3.06, 3.13, 3.32, 8.27, suppf,
2022-08-21,3.68, -2.54, 0.56, 3.13, 3.34, 8.49, suppf,
2022-08-22,6.38, -5.54, 4.18, 3.18, 3.38, 8.3, suppf,
2022-08-23,2.99, -3.14, 1.30, 3.23, 3.46, 9.09, suppf,
2022-08-24,-0.57, -4.63, 3.11, 3.18, 3.39, 8.82, suppf,
2022-08-25,3.46, -5.91, 5.95, 3.16, 3.39, 8.89, suppf,
